0.020928, 0, 5360,
0.046512, 5360, 5896,
0.055952, 5896, 6432,
0.065392, 6432, 6968,
0.074832, 6968, 7504,
0.084272, 7504, 8040,
0.093712, 8040, 8576,
0.103152, 8576, 9112,
0.112592, 9112, 9648,
0.122032, 9648, 10184,
0.131472, 10184, 10720,
0.140912, 10720, 11256,
0.150352, 11256, 11792,
0.169296, 11792, 11256,
0.174016, 11256, 10944,
0.178736, 10944, 10787,
0.183456, 10787, 10631,
0.188176, 10631, 10475,
0.192896, 10475, 10318,
0.197616, 10318, 10162,
0.202336, 10162, 9112,
0.281568, 9112, 8576,
0.33632, 8576, 8040,
0.354192, 8040, 7504,
0.381504, 7504, 9112,
0.408816, 9112, 8596,
0.413536, 8596, 8338,
0.418192, 8338, 7504,
0.445504, 7504, 6968,
0.498176, 6968, 6432,
0.502832, 6432, 7504,
0.542352, 7504, 6968,
0.568656, 6968, 7504,
0.581808, 7504, 6968,
0.608112, 6968, 7504,
0.621264, 7504, 6968,
0.639136, 6968, 6432,
0.652288, 6432, 7504,
0.725472, 7504, 6968,
0.77336, 6968, 7132,
0.77808, 7132, 6829,
0.82496, 6829, 6526,
0.82968, 6526, 6759,
0.8344, 6759, 4288,
0.88128, 4288, 4824,
0.886, 4824, 4288,
0.89072, 4288, 4824,
0.946032, 4824, 5360,
1.65229, 5360, 536,
