ISim log file
Running: /home/ise/Desktop/CS_224/Lab9/test1_isim_beh.exe -intstyle ise -gui -tclbatch isim.cmd -wdb /home/ise/Desktop/CS_224/Lab9/test1_isim_beh.wdb 
ISim P.20131013 (signature 0xfbc00daa)
----------------------------------------------------------------------
WARNING:Security:42 - Your software subscription period has lapsed. Your current version of Xilinx tools will continue to function, but you no longer qualify for Xilinx software updates or new releases.


----------------------------------------------------------------------
This is a Full version of ISim.
WARNING:  For instance uut/alu/, width 1 of formal port cin is not equal to width 32 of actual constant.
Time resolution is 1 ps
# onerror resume
# wave add /
# run 1000 ns
Simulator is doing circuit initialization process.
                   0,  curr= 0,  ss_add= 0,  ss_in=  0,  ss_out=  x,  rf_id= 0,  rf_in=  0,  rf_out=  x,  alu_out=  x
                 179,  curr= 2,  ss_add= 4,  ss_in=  0,  ss_out=  z,  rf_id= 4,  rf_in=  6,  rf_out=  x,  alu_out=  x
                 181,  curr= 3,  ss_add= 4,  ss_in=  0,  ss_out=  z,  rf_id= 4,  rf_in=  6,  rf_out=  x,  alu_out=  x
                 183,  curr= 4,  ss_add= 4,  ss_in=  0,  ss_out=  8,  rf_id= 4,  rf_in=  8,  rf_out=  x,  alu_out=  x
                 185,  curr= 5,  ss_add= 4,  ss_in=  0,  ss_out=  8,  rf_id= 4,  rf_in=  8,  rf_out=  x,  alu_out=  x
                 187,  curr= 6,  ss_add= 4,  ss_in=  0,  ss_out=  8,  rf_id= 4,  rf_in=  8,  rf_out=  8,  alu_out=  x
                 189,  curr= 7,  ss_add= 4,  ss_in=  0,  ss_out=  8,  rf_id= 4,  rf_in=  8,  rf_out=  8,  alu_out=  x
                 191,  curr= 8,  ss_add= 5,  ss_in=  0,  ss_out=  z,  rf_id= 5,  rf_in=  8,  rf_out=  8,  alu_out=  x
                 193,  curr= 9,  ss_add= 5,  ss_in=  0,  ss_out=  z,  rf_id= 5,  rf_in=  8,  rf_out=  x,  alu_out=  x
                 195,  curr= 1,  ss_add= 5,  ss_in=  0,  ss_out=  z,  rf_id= 5,  rf_in=  8,  rf_out=  x,  alu_out=  x
                 197,  curr= 2,  ss_add= 5,  ss_in=  0,  ss_out=  z,  rf_id= 5,  rf_in=  8,  rf_out=  x,  alu_out=  x
