CE205#Structural Analysis I#3#0#0#6
CE212#Civil Engineering Materials Laboratory#0#0#3#3
CE214#Fluid Mechanics Lab#0#0#2#2
CE220#Hydraulics & Hydraulic Structure#3#0#0#6
CE221#Hydraulics and Hydraulics Structures Lab#0#0#2#2
CE215#Geotechnical Engineering I Lab#0#0#2#2
CE222#Environmental Engg. I#3#0#0#6
CE223#Environmental Engineering I Lab#0#0#2#2
CE201#Surveying#3#0#6#6
CE208#Engineering Geology Lab#0#0#2#2
CE213#Surveying Lab#0#0#2#2
CE309#Design of Steel Structures#3#1#0#8
CE308#Construction Technology and Management#3#0#0#6
CE321#Hydrology Laboratory#0#0#2#2
CE313#Geotechnical Engineering II Lab#0#0#2#2
CE314#Transportation Engineering I Lab#0#0#2#2
CE322#Transportation Engineering II#3#0#0#6
CE323#Transportation Engineering II Laboratory#0#0#2#2
CE504#Advanced Structural Design#3#0#0#6
CE511#Analysis and Design of Bridges#3#0#0#6
CE512#Structural Engineering Laboratory#0#0#3#3
CE606#Earthquake Engineering#3#0#0#6
CE615#Design of Masonry Structures#3#0#6#6
CE619#Theory of Wave Propagation#0#0#0#6
CE514#Plates, Shells And Elastic Stability#3#0#0#6
CE608#Reliability based Structural Design#3#0#0#6
CE510#Quality And Safety Management In Construction#3#0#0#6
CE544#Project Management Laboratory#0#0#3#3
CE612#Advanced Concrete Technology#3#0#0#6
CE614#Financing Infrastructure Projects#3#0#0#6
CE552#Water Resources Systems Analysis,Planning & Management#3#0#0#6
CE623#Pavement Evaluation, Rehabilitation and Maintenance#3#0#0#6
CE555#Principles of Water Quality & EIA#2#0#2#6
CE556#Subsurface Hydrology#3#0#0#6
CE562#Transient Flow Analysis#3#0#0#6
CE559#Watershed Management & Remote Sensing Application#0#0#0#6
CE560#Computational Methods in Hydraulics & Environmental Engg.#3#0#0#6
CE515#Genetic Algorithms#0#0#0#6
CE533#Advanced Foundation Engg.#3#1#0#8
CE534#Seminar#0#0#2#2
CE618#Mechanics of Unsaturated Soils#3#0#0#6
CE641#Reinforced Soil Structures#0#0#0#6
CE646#Rock Mechanics#3#0#0#6
CE583#Pavement Analysis and Design#3#0#0#6
CE584#Traffic Engineering#3#0#2#8
CE585#Credit Seminar#0#0#2#2
CE628#Traffic Flow Modelling and Simulation#0#0#0#6
CE521#Process Chemistry for Water and Wastewater Treatment#3#0#2#8
CE523#Air and Noise Pollution#3#0#2#8
CE524#Biological Processes in Environmental Engg.#3#0#0#6
CE525#Solid and Hazardous Waste Management#3#0#0#6
CE661#Air Quality Modeling#3#1#0#8
CE664#Industrial Wastewater Pollution Control#3#0#0#6
CE594#Geohazard Science and Engineering#3#0#0#6
CE595#Advanced Techniques in Geoscience#2#0#2#6
CE499#BTP Phase II#0#0#0#7
CE699#Project and Thesis Phase II#0#0#24#24
CE550#Project and Thesis Phase II#0#0#24#24
CE691#Project and Thesis Phase II#0#0#24#24
CE697#Project and Dissertation#0#0#24#24
CE695#Project and Thesis Phase II#0#0#24#24
CE693#Project and Thesis Phase II#0#0#24#24
CE599#M Tech Project – Phase II#0#0#24#24
CE324#Mathematical Concepts and Applications in Civil Engineering#3#1#0#8
CE402#Design Project#1#0#3#5
ME221#Fluid Mechanics II#2#1#0#6
ME223#Solid Mechanics II#3#0#0#6
ME224#Kinematics of Machinery#2#1#0#6
ME225#Workshop II#0#0#6#6
ME226#Mechanical Engg. Laboratory - II#0#0#3#3
ME215#Machine Drawing#0#0#3#3
ME216#Mechanical Engg Laboratary- I#0#0#3#3
ME202M#Mechatronics#2#0#2#6
ME321#Applied Thermodynamics#3#0#0#6
ME322#Machine Design#2#0#2#6
ME323#Mechanical Measurements#3#0#0#6
ME324#Industrial Engineering and Operations Research#3#0#0#6
ME325#Control Systems#3#0#0#6
ME326#Mechanical Engg. Laboratory - IV#0#0#3#3
ME315#Mechanical Engineering Laboratory III#0#0#0#3
ME412#Mechanical Lab IV#0#0#3#3
ME421#Industrial Engineering and Operation Research#3#0#0#6
ME511#Engineering Materials and Characterization#3#0#0#6
ME513#Physics of Deformation Processes#3#0#0#6
ME515#Manufacturing Laboratory#0#0#6#6
ME522#Convective Heat & Mass Transfer#3#0#0#6
ME541#Continuum Mechanics#3#0#0#6
ME542#Numerical Analysis#2#0#2#6
ME544#Computational Mechanics Lab#0#0#2#2
ME552#Aircraft Propulsion#3#0#0#6
ME553#Gas Dynamics#3#0#0#6
ME554#Rocket Propulsion#3#0#0#6
ME605#Fracture, Fatigue and Failure Analysis#3#0#0#6
ME607#Introduction to Composite Materials#3#0#0#6
ME608#Computer Aided Design-Computer Aided Manufacturing#2#0#2#6
ME615#Rotor Dynamics#3#0#0#6
ME619#Fundamentals of Microfluidics#3#0#0#6
ME621#Refrigeration and Air Conditioning#3#0#0#6
ME628#Additive Manufacturing Technologies#2#0#2#6
ME648#Viscous Fluid Flow#3#0#0#6
ME657#Two Phase Flow & Heat Transfer#3#0#0#6
ME670#Advanced Computational Fluid Dynamics#3#0#0#6
ME671#Biomaterials: Design and Applications#3#0#0#6
ME674#Soft Computing in Engineering#3#0#0#6
