CourseNo.#Type of Course#Offered to
BT202M#Minor#B. Tech 4th semester
BT206#Compulsory#B. Tech 4th semester
BT207#Compulsory#B. Tech 4th semester
BT208#Compulsory#B. Tech 4th semester
BT209#Compulsory#B. Tech 4th semester
BT211#Compulsory#B. Tech 4th semester
BT305#Compulsory#B. Tech 6th semester
BT306#Compulsory#B. Tech 6th semester
BT307#Compulsory#B. Tech 6th semester
BT308#Compulsory#B. Tech 6th semester
BT402#Compulsory#B. Tech 8th semester
BT403#Dept. Elective#B. Tech 8th semester
BT411#Dept. Elective#B. Tech 8th semester
BT412#Dept. Elective#B. Tech 8th semester
BT416#Dept. Elective#B. Tech 8th semester
BT420#Dept. Elective#B. Tech 8th semester
BT502#Compulsory#M. Tech. 2nd semester
BT504#Compulsory#M. Tech. 2nd semester
BT520#Compulsory#M. Tech. 2nd semester
BT601#Dept. Elective#B. Tech 6th semester, M. Tech. 2nd semester, PhD
BT605#Dept. Elective#M. Tech. 2nd semester, PhD
BT608#Dept. Elective#B. Tech 6th semester, M. Tech. 2nd semester, PhD
BT609#Dept. Elective#M. Tech. 2nd semester, PhD
BT619#Open Elective#B. Tech 6th semester, M. Tech. 2nd semester, PhD
BT621#Dept. Elective#M. Tech. 2nd semester, PhD
BT622#Dept. Elective#M. Tech. 2nd semester, PhD
BT630#Open Elective#B. Tech. 8th semester, M. Tech., 2nd semester, PhD
BT634#Dept. Elective#M. Tech. 2nd semester, PhD
BT639#Dept. Elective#M. Tech. 2nd semester, PhD
BT640#Dept. Elective#M. Tech. 2nd semester, PhD
BT643#Dept. Elective#M. Tech. 2nd semester, PhD
BT699#Compulsory#M. Tech. 4th emester
BT651#Dept. Elective#M. Tech. 2nd semester, PhD
CE201#Compulsory#B.Tech. 2nd year students of Civil Dept.
CE205#Compulsory#Btech 4th Sem.
CE206#Compulsory#Btech 4th Sem.
CE213#Compulsory#B. Tech 2nd year students of Civil Dept.
CE215#Compulsory#Btech 4th Sem.
CE220#Compulsory#Btech 4th Sem.
CE221#Compulsory#Btech 4th Sem.
CE222#Compulsory#B. Tech
CE223#Compulsory#B. Tech
CE252M#Minor#B.Tech, Minor, 4th Semester
CE308#Compulsory#B.Tech., 6th Sem.
CE309#Compulsory#B.Tech., 6th
CE320#Compulsory#B.Tech., 6th
CE321#Compulsory#B.Tech., 6th
CE322#Compulsory#B.Tech, 6th Semester
CE323#Compulsory#B.Tech, 6th Semester
CE324#Compulsory#B.Tech., 6th
CE504#Compulsory#MTech-Structural./PhD, 2nd
CE510#Dept. Elective#Dept. Elective for MTech-IEM., 2nd Sem. and Ph.D
CE511#Compulsory#MTech-Structural./PhD, 2nd B.Tech. 8th
CE514#Dept Elective#MTech-Structural./PhD, 2nd
CE524#Compulsory#MTech-Environ.
CE525#Compulsory#MTech-Environ.
