ISim log file
Running: /home/ise/Desktop/CS_224/Lab10/test1_isim_beh.exe -intstyle ise -gui -tclbatch isim.cmd -wdb /home/ise/Desktop/CS_224/Lab10/test1_isim_beh.wdb 
ISim P.20131013 (signature 0xfbc00daa)
----------------------------------------------------------------------
WARNING:Security:42 - Your software subscription period has lapsed. Your current version of Xilinx tools will continue to function, but you no longer qualify for Xilinx software updates or new releases.


----------------------------------------------------------------------
This is a Full version of ISim.
WARNING:  For instance uut/alu/, width 1 of formal port cin is not equal to width 32 of actual constant.
Time resolution is 1 ps
# onerror resume
# wave add /
# run 1000 ns
Simulator is doing circuit initialization process.
                   0,  curr= 0,  ss_add= 0,  ss_in=    0,  ss_out=    z,  rf_id= 0,  rf_in=    0,  rf_out=    x,  alu_out=    x, tmp=    x, op= 0, tmp1=    0, tmp2=    0, is_direct=x
                 155,  curr= 6,  ss_add= 6,  ss_in=    0,  ss_out=    z,  rf_id= 7,  rf_in= 2305,  rf_out= 2305,  alu_out=    x, tmp= 2305, op= 0, tmp1=    0, tmp2=    0, is_direct=x
                 157,  curr= 7,  ss_add= 6,  ss_in=    0,  ss_out=    z,  rf_id= 7,  rf_in= 6691,  rf_out=    x,  alu_out=    x, tmp= 6691, op= 0, tmp1=    0, tmp2=    0, is_direct=x
                 159,  curr= 8,  ss_add= 6,  ss_in=    0,  ss_out=    z,  rf_id= 8,  rf_in= 6691,  rf_out= 6691,  alu_out=    x, tmp= 6691, op= 0, tmp1=    0, tmp2=    0, is_direct=x
                 161,  curr= 9,  ss_add= 6,  ss_in=    0,  ss_out=    z,  rf_id= 8,  rf_in=47941,  rf_out=    x,  alu_out=    x, tmp=47941, op= 0, tmp1=    0, tmp2=    0, is_direct=x
                 163,  curr=10,  ss_add= 6,  ss_in=    0,  ss_out=    z,  rf_id= 9,  rf_in=47941,  rf_out=47941,  alu_out=    x, tmp=47941, op= 0, tmp1=    0, tmp2=    0, is_direct=x
                 165,  curr=11,  ss_add= 6,  ss_in=    0,  ss_out=    z,  rf_id= 9,  rf_in=47941,  rf_out=    x,  alu_out=    x, tmp=47941, op= 0, tmp1=    0, tmp2=    0, is_direct=x
                 167,  curr=12,  ss_add= 6,  ss_in=    0,  ss_out=    z,  rf_id= 6,  rf_in=47941,  rf_out=    x,  alu_out=    x, tmp=47941, op= 0, tmp1=    0, tmp2=    0, is_direct=x
                 169,  curr=13,  ss_add= 6,  ss_in=    0,  ss_out=    z,  rf_id= 0,  rf_in=47941,  rf_out= 2305,  alu_out=    x, tmp= 2305, op= 0, tmp1=    0, tmp2=    0, is_direct=x
                 171,  curr=14,  ss_add= 6,  ss_in=    0,  ss_out=    z,  rf_id= 1,  rf_in=47941,  rf_out=    2,  alu_out=    x, tmp= 2305, op= 0, tmp1=    2, tmp2=    0, is_direct=x
                 173,  curr=15,  ss_add= 6,  ss_in=    0,  ss_out=    z,  rf_id= 1,  rf_in=47941,  rf_out=    4,  alu_out=    x, tmp= 2305, op= 0, tmp1=    2, tmp2=    4, is_direct=0
